date,drawdown
2010-01-14,-0.018536506455511192
2010-01-15,-0.0402991840561413
2010-01-18,-0.0365800357816779
2010-01-19,-0.017920572011032365
2010-01-20,-0.041192644102148734
2010-01-21,-0.06944328087776841
2010-01-22,-0.0918957545675183
2010-01-25,-0.0931838450538588
2010-01-26,-0.09381920689752687
2010-01-27,-0.09237125871510532
2010-01-28,-0.10372112245782583
2010-01-29,-0.10644072809860039
2010-02-01,-0.09859675752247488
2010-02-02,-0.09200787997200066
2010-02-03,-0.09489475385158419
2010-02-04,-0.10809835009232416
2010-02-05,-0.10834259749319719
2010-02-08,-0.11050301735662782
2010-02-09,-0.1073684463886293
2010-02-10,-0.1078587640948434
2010-02-11,-0.10596370560443191
2010-02-12,-0.10634127103608348
2010-02-15,-0.1065633160805678
2010-02-16,-0.1053126456172142
2010-02-17,-0.10577136723871483
2010-02-18,-0.10534516673154415
2010-02-19,-0.10540835504282953
2010-02-22,-0.10527216226111602
2010-02-23,-0.10785888827597612
2010-02-24,-0.1066778987943614
2010-02-25,-0.10617043641033574
2010-02-26,-0.10662112365046839
2010-03-01,-0.10610012112535105
2010-03-02,-0.10637789222038296
2010-03-03,-0.1063047377444224
2010-03-04,-0.10566766867884791
2010-03-05,-0.10330636817040506
2010-03-08,-0.1033595051328996
2010-03-09,-0.1029043538728357
2010-03-10,-0.10089703729618216
2010-03-11,-0.0998508574389061
2010-03-12,-0.099415125004367
2010-03-15,-0.10059568627956017
2010-03-16,-0.09432994733067646
2010-03-17,-0.08951586279486756
2010-03-18,-0.0903181623619812
2010-03-19,-0.09465301082112432
2010-03-22,-0.09188143496341616
2010-03-23,-0.08644774649638032
2010-03-24,-0.08917204004375168
2010-03-25,-0.08111845843568721
2010-03-26,-0.08180180132804238
2010-03-29,-0.07184936949724363
2010-03-30,-0.07346075781392869
2010-03-31,-0.07574749977166984
2010-04-01,-0.057367749632622145
2010-04-05,-0.04704725216595107
2010-04-06,-0.04281712372101354
2010-04-07,-0.05448165729756571
2010-04-08,-0.056767828514049934
2010-04-09,-0.037640287404913764
2010-04-12,-0.034967767388233484
2010-04-13,-0.03658281353237014
2010-04-14,-0.012910647405103282
2010-04-15,-0.009603159825458896
2010-04-16,-0.05132102908940228
2010-04-19,-0.048433269075049856
2010-04-20,-0.022873200878084643
2010-04-21,-0.029353360745067114
2010-04-22,-0.035689634958206096
2010-04-23,-0.012303123688767403
2010-04-26,-0.0077064187084995295
2010-04-27,-0.06348643683071176
2010-04-28,-0.06497057436935694
2010-04-29,-0.04774353487583116
2010-04-30,-0.06239566459369461
2010-05-03,-0.05007706399587952
2010-05-04,-0.08188623805025042
2010-05-05,-0.08872992940710289
2010-05-06,-0.10942672982750201
2010-05-07,-0.12666927255819793
2010-05-10,-0.10005423220585552
2010-05-11,-0.10057383460584324
2010-05-12,-0.09413518342112659
2010-05-13,-0.09613195212751846
2010-05-14,-0.1049658984911489
2010-05-17,-0.10450368443488889
2010-05-18,-0.10533041935793908
2010-05-19,-0.11098089702092395
2010-05-20,-0.11824609975981426
2010-05-21,-0.1171456387303007
2010-05-24,-0.11922577396386436
2010-05-25,-0.12178188173039295
2010-05-26,-0.12119740195448392
2010-05-27,-0.11817411339663808
2010-05-28,-0.11860966218401847
2010-05-31,-0.1184397053614995
2010-06-01,-0.11899431286420048
2010-06-02,-0.11795664769287095
2010-06-03,-0.11731337566840994
2010-06-04,-0.11836931719564758
2010-06-07,-0.11867760061712984
2010-06-08,-0.11904373718033123
2010-06-09,-0.11882186501552539
2010-06-10,-0.11936175083248224
2010-06-11,-0.11944261721354166
2010-06-14,-0.11872409868692557
2010-06-15,-0.11825423979962135
2010-06-16,-0.11810543173062504
2010-06-17,-0.11781366699530127
2010-06-18,-0.11795099451128777
2010-06-21,-0.11778676903842322
2010-06-22,-0.11710511332441542
2010-06-23,-0.11698051629351336
2010-06-24,-0.1162971281542573
2010-06-25,-0.11653108480105356
2010-06-28,-0.11636418952470484
2010-06-29,-0.11382425756110115
2010-06-30,-0.11302180951871765
2010-07-01,-0.11302180951871765
2010-07-02,-0.11302180951871765
2010-07-05,-0.11302180951871765
2010-07-06,-0.11302180951871765
2010-07-07,-0.11302180951871765
2010-07-08,-0.11302180951871765
2010-07-09,-0.11302180951871765
2010-07-12,-0.11302180951871765
2010-07-13,-0.11302180951871765
2010-07-14,-0.11302180951871765
2010-07-15,-0.11302180951871765
2010-07-16,-0.11302180951871765
2010-07-19,-0.11302180951871765
2010-07-20,-0.11302180951871765
2010-07-21,-0.11302180951871765
2010-07-22,-0.11302180951871765
2010-07-23,-0.11302180951871765
2010-07-26,-0.11302180951871765
2010-07-27,-0.11302180951871765
2010-07-28,-0.11302180951871765
2010-07-29,-0.11302180951871765
2010-07-30,-0.11302180951871765
2010-08-02,-0.11302180951871765
2010-08-03,-0.11304214462601458
2010-08-04,-0.11329855877095951
2010-08-05,-0.11329855877095951
2010-08-06,-0.11329855877095951
2010-08-09,-0.11329855877095951
2010-08-10,-0.11329855877095951
2010-08-11,-0.11329855877095951
2010-08-12,-0.11329855877095951
2010-08-13,-0.11329855877095951
2010-08-16,-0.11336194299781177
2010-08-17,-0.1113562042923506
2010-08-18,-0.1111092986335327
2010-08-19,-0.11394930307696427
2010-08-20,-0.11443481653505105
2010-08-23,-0.11516619864644095
2010-08-24,-0.11621016281310403
2010-08-25,-0.11550330704737333
2010-08-26,-0.11637379745547538
2010-08-27,-0.1157974406732839
2010-08-30,-0.11625376037480184
2010-08-31,-0.11650448963047366
2010-09-01,-0.11994676255709358
2010-09-02,-0.11957200426925385
2010-09-03,-0.12001540298262581
2010-09-06,-0.12041669600048643
2010-09-07,-0.12018678667016014
2010-09-08,-0.12057005650615615
2010-09-09,-0.12071922152607362
2010-09-10,-0.12024470560133027
2010-09-13,-0.11975817663103505
2010-09-14,-0.11998992086318216
2010-09-15,-0.11953611938800646
2010-09-16,-0.1195991669507791
2010-09-17,-0.11945743480483118
2010-09-20,-0.11686828753399214
2010-09-21,-0.11750005755223358
2010-09-22,-0.11902175766441381
2010-09-23,-0.12070309251452782
2010-09-24,-0.11591666324446237
2010-09-27,-0.11712455997487903
2010-09-28,-0.11609780582621243
2010-09-29,-0.11698164122206933
2010-09-30,-0.11799512163993797
2010-10-01,-0.11720995267868572
2010-10-04,-0.12097605397286204
2010-10-05,-0.11389338017633155
2010-10-06,-0.1117566350077871
2010-10-07,-0.11200092358303271
2010-10-08,-0.10941454323760869
2010-10-11,-0.10825013242179993
2010-10-12,-0.10742897541606888
2010-10-13,-0.09557651933193645
2010-10-14,-0.09537609294635407
2010-10-15,-0.09142629586485607
2010-10-18,-0.08598688611141225
2010-10-19,-0.09765563606133743
2010-10-20,-0.08828002924042189
2010-10-21,-0.07546071736167936
2010-10-22,-0.07490575755744011
2010-10-25,-0.06899653047429233
2010-10-26,-0.07275896078935673
2010-10-27,-0.08260542914188174
2010-10-28,-0.07699131761017297
2010-10-29,-0.07654728868934302
2010-11-01,-0.07488026257497149
2010-11-02,-0.05792949038782658
2010-11-03,-0.059660827829219665
2010-11-04,-0.015834240975418412
2010-11-05,-0.008320134153504188
2010-11-08,-0.011448783051330014
2010-11-09,-0.014936188611106571
2010-11-10,-0.021655966124550452
2010-11-11,-0.026802688231426064
2010-11-12,-0.039706695882224974
2010-11-15,-0.03136935139032615
2010-11-16,-0.0729915351507694
2010-11-17,-0.06671438271375696
2010-11-18,-0.02906938665162495
2010-11-19,-0.024520191293039062
2010-11-22,-0.029554399423567634
2010-11-23,-0.06280284663471747
2010-11-24,-0.03179255539718029
2010-11-25,-0.024400368353505675
2010-11-26,-0.034972436670293816
2010-11-29,-0.057467183155450074
2010-11-30,-0.06356475781326054
2010-12-01,-0.025945862225291938
2010-12-02,-0.008010015461982656
2010-12-03,-0.007222474728091788
2010-12-06,-0.0075715055207343784
2010-12-07,-0.002350797046315245
2010-12-08,-0.0020447514517668575
2010-12-09,-0.00019154165339718698
2010-12-10,0.0
2010-12-13,0.0
2010-12-14,0.0
2010-12-15,-0.005528741224203548
2010-12-16,0.0
2010-12-17,-0.003892134426808469
2010-12-20,0.0
2010-12-21,0.0
2010-12-22,0.0
2010-12-23,-0.002800747807191417
2010-12-27,-0.012305961902623341
2010-12-28,-0.01142924223741637
2010-12-29,-0.007921525580134037
2010-12-30,-0.01832930701735591
2010-12-31,-0.018542491692271068
2011-01-03,0.0
2011-01-04,-0.003025310899914202
2011-01-05,-0.00048819636871377803
2011-01-06,0.0
2011-01-07,-0.006305044962718553
2011-01-10,-0.017649212523669244
2011-01-11,-0.0035526568715933404
2011-01-12,0.0
2011-01-13,-0.0019583521862611697
2011-01-14,0.0
2011-01-17,0.0
2011-01-18,0.0
2011-01-19,-0.029047094492025693
2011-01-20,-0.040500835091054954
2011-01-21,-0.03034653611497007
2011-01-24,-0.01817843505645389
2011-01-25,-0.01892968079717028
2011-01-26,-0.0007321236392381358
2011-01-27,0.0
2011-01-28,-0.04282686554958681
2011-01-31,-0.034545142196840795
2011-02-01,0.0
2011-02-02,-0.003802607166160321
2011-02-03,0.0
2011-02-04,0.0
2011-02-07,0.0
2011-02-08,0.0
2011-02-09,-0.0040151955608772605
2011-02-10,-0.0007207416252825727
2011-02-11,0.0
2011-02-14,0.0
2011-02-15,-0.003707644827243284
2011-02-16,0.0
2011-02-17,0.0
2011-02-18,0.0
2011-02-21,-0.016024664263082578
2011-02-22,-0.04363513179332601
2011-02-23,-0.06792751274870945
2011-02-24,-0.07764303173719578
