period_label,start,end,bars,cum_return,vol,max_drawdown,ret_over_vol
2017-03,2017-03-01,2017-03-31,23,0.03209586755670135,0.015055107128730094,-0.05763708822168523,2.1318923394076608
2017-04,2017-04-03,2017-04-28,19,0.014996562476453867,0.014668469598694257,-0.04379676929066312,1.0223672193988673
2017-05,2017-05-01,2017-05-31,23,0.01849489689364825,0.011821203714429617,-0.04918364367412764,1.5645527596375277
2017-06,2017-06-01,2017-06-30,22,-0.004437672001759929,0.010185896402171104,-0.04031637885926176,-0.43566828353114295
2017-07,2017-07-03,2017-07-31,21,0.0434086384974437,0.00441056100614767,-0.011840226786463237,9.841976663952378
2017-08,2017-08-01,2017-08-31,23,-0.0017071231259546682,0.007205808329842833,-0.030613654258322742,-0.23690931645858843
2017-09,2017-09-01,2017-09-29,21,0.04106548791666098,0.006225168028992165,-0.015853300179979102,6.596687466974181
2017-10,2017-10-02,2017-10-31,22,0.11238243855426733,0.013772093547642266,-0.023833274546291916,8.16015649076874
2017-11,2017-11-01,2017-11-30,22,0.047589592034914086,0.016985106985699057,-0.0805780425044279,2.801842347827604
2017-12,2017-12-01,2017-12-29,19,0.01802824307704265,0.005568030390193817,-0.014141235536885288,3.2378133403857206
2018-01,2018-01-02,2018-01-31,22,-0.001244218352659865,0.00020257154827360026,-0.001244218352659865,-6.142117998621306
2018-02,2018-02-01,2018-02-28,20,-0.0358543215067707,0.006469341231532996,-0.02933826570372755,-5.542190498780437
2018-03,2018-03-01,2018-03-29,21,0.005453558165502859,0.008295811461568768,-0.03634911579486266,0.6573869465051188
2018-04,2018-04-02,2018-04-30,21,0.0007552285170948636,0.004584817183702808,-0.017141460035376976,0.1647238018081504
2018-05,2018-05-01,2018-05-31,23,-0.037179141160047724,0.012879452361706852,-0.07210084653025339,-2.8867020208552217
2018-06,2018-06-01,2018-06-29,21,-0.013394487660181031,0.0055270034063703045,-0.033345253391266816,-2.4234628921601233
2018-07,2018-07-02,2018-07-31,22,0.011636615108944204,0.007158171665156036,-0.026098319178046392,1.6256406877733836
2018-08,2018-08-01,2018-08-31,23,0.03599866563013587,0.010465178133860826,-0.04183448339918616,3.4398521620630267
2018-09,2018-09-03,2018-09-28,20,-0.015856764986598826,0.007560139372775341,-0.042748297372354194,-2.0974170190169095
2018-10,2018-10-01,2018-10-31,23,-0.17581769266559544,0.029552717621455657,-0.18807302135060688,-5.949290177562198
2018-11,2018-11-01,2018-11-30,22,0.020431813891313544,0.007280723441908303,-0.019067519433363933,2.80628897036615
2018-12,2018-12-03,2018-12-31,20,0.050385554736032345,0.012380377190063779,-0.024292499666895506,4.06979157117044
2019-01,2019-01-02,2019-01-31,22,-0.06069493478443988,0.012017527048368391,-0.0813773796673728,-5.050534485185983
2019-02,2019-02-01,2019-02-28,20,0.0023978442713243897,0.008875454633401317,-0.041938997428104585,0.2701657966117585
2019-03,2019-03-01,2019-03-29,21,0.001170792722492875,0.01995641819145424,-0.08587760780485543,0.058667477864050424
2019-04,2019-04-01,2019-04-30,21,0.1548151776148743,0.010754229936226684,-0.026761252027236115,14.395747397344007
2019-05,2019-05-01,2019-05-31,23,-0.21359763901761364,0.03500318309777376,-0.2225367465914524,-6.102234714510826
2019-06,2019-06-03,2019-06-28,20,0.07413219640650737,0.009736272583117829,-0.01693646656715586,7.614022283542943
2019-07,2019-07-01,2019-07-31,23,0.0,0.0,0.0,
2019-08,2019-08-01,2019-08-30,22,-0.021871307005246643,0.01012906666073534,-0.04109687261691286,-2.1592618291307453
2019-09,2019-09-02,2019-09-30,21,0.0026126148556295803,0.004419258403053676,-0.021497760253816778,0.591188524713622
2019-10,2019-10-01,2019-10-31,23,0.0059721376050996255,0.011614225827687416,-0.0401696297715296,0.5142088412696877
