date,price,price_diff,sigma_price,ewma_short,ewma_long,raw_forecast,scaled_forecast,capped_forecast,N_unrounded,position,forecast_scale,buffer_contracts,prev_pos,pnl_price,delta_pos,cost_usd,cost_pct,slip_cost,pnl,equity,drawdown,bundle,sample
2007-07-20,13851.080078125,-149.330078125,,13748.97670978484,13624.743148618947,,,,,0,5.325546588611702,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,2,OOS
2007-07-23,13943.419921875,92.33984375,,13767.495110936283,13632.611710921567,,,,,0,5.325546588611702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,2,OOS
2007-07-24,13716.9501953125,-226.4697265625,,13762.681309448304,13634.694142634922,,,,,0,5.325546588611702,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,2,OOS
2007-07-25,13785.0703125,68.1201171875,,13764.813595453228,13638.407134483443,,,,,0,5.325546588611702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,2,OOS
2007-07-26,13473.5703125,-311.5,,13737.076139933873,13634.337089496197,,,,,0,5.325546588611702,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,2,OOS
2007-07-27,13265.4697265625,-208.1005859375,,13692.161243422313,13625.229253374377,,,,,0,5.325546588611702,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,2,OOS
2007-07-30,13358.3095703125,92.83984375,,13660.365845983284,13618.638643916058,,,,,0,5.325546588611702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,2,OOS
2007-07-31,13211.990234375,-146.3193359375,,13617.663406782494,13608.597942445907,,,,,0,5.325546588611702,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,2,OOS
2007-08-01,13362.3701171875,150.3798828125,,13593.3497601544,13602.518243056811,,,,,0,5.325546588611702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,2,OOS
2007-08-02,13463.330078125,100.9599609375,,13580.966933294458,13599.08149824368,,,,,0,5.325546588611702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,2,OOS
2007-08-03,13181.91015625,-281.419921875,,13542.961525956891,13588.780971280874,,,,,0,5.325546588611702,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,2,OOS
2007-08-06,13468.7802734375,286.8701171875,,13535.896644764569,13585.81799108721,,,,,0,5.325546588611702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,2,OOS
2007-08-07,13504.2998046875,35.51953125,,13532.887421900086,13583.80519636129,,,,,0,5.325546588611702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,2,OOS
2007-08-08,13657.8603515625,153.560546875,,13544.789605677459,13585.633718711937,,,,,0,5.325546588611702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,2,OOS
2007-08-09,13270.6796875,-387.1806640625,,13518.683899184367,13577.857075965963,,,,,0,5.325546588611702,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,2,OOS
2007-08-10,13239.5400390625,-31.1396484375,,13492.09876964895,13569.503568881928,,,,,0,5.325546588611702,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,2,OOS
2007-08-13,13236.5302734375,-3.009765625,,13467.758912866908,13561.282006031448,,,,,0,5.325546588611702,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,2,OOS
2007-08-14,13028.919921875,-207.6103515625,,13425.964723248631,13548.13726321277,,,,,0,5.325546588611702,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,2,OOS
2007-08-15,12861.4697265625,-167.4501953125,,13372.203294992809,13531.182509221406,,,,,0,5.325546588611702,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,2,OOS
2007-08-16,12845.7802734375,-15.689453125,,13322.067769130399,13514.258997226741,,,,,0,5.325546588611702,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,2,OOS
2007-08-17,13079.080078125,233.2998046875,167.66897788675126,13298.926084272742,13503.513838730401,-1.220188475150391,-6.49817057130048,-6.49817057130048,-0.6389194959903373,-1,5.325546588611702,0.09832298013415648,0.0,0.0,1.0,3.0,0.0,2.615816015625,-5.6158160156250005,9994.384183984375,0.000561581601562466,2,OOS
