date,raw_forecast,scaled_forecast,capped_forecast,position,price_diff,prev_pos,pnl_price,delta_pos,cost_usd,cost_pct,slip_cost,pnl,equity,drawdown,bundle,sample
2017-10-12,16.115054482427578,13.690420194015442,13.690420194015442,0,-4.31005859375,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-10-13,16.25361135161681,13.808130113149522,13.808130113149522,0,2.239990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-10-16,16.43607481812033,13.96314054325472,13.96314054325472,0,4.469970703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-10-17,16.607782551643325,14.109013523396065,14.109013523396065,0,1.72021484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-10-18,16.769456511732248,14.246362388735701,14.246362388735701,0,1.89990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-10-19,16.92176629839508,14.375755992793868,14.375755992793868,0,0.840087890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-10-20,17.065333118829844,14.497722077352499,14.497722077352499,0,13.10986328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-10-23,16.995812634311275,14.438661486140187,14.438661486140187,0,-10.22998046875,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-10-24,17.002619946745646,14.444444585894527,14.444444585894527,0,4.14990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-10-25,16.72411618085569,14.207843860479244,14.207843860479244,0,-11.97998046875,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-10-26,16.501060701586454,14.018348799131282,14.018348799131282,0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-10-27,16.680532681546083,14.170817834925016,14.170817834925016,0,20.670166015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-10-30,16.603592116555152,14.105453571599726,14.105453571599726,0,-8.239990234375,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-10-31,16.595376999674574,14.098474482440537,14.098474482440537,0,2.429931640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-11-01,16.710657005709095,14.196409722082585,14.196409722082585,0,4.10009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-11-02,16.83707590534996,14.303807922841742,14.303807922841742,0,0.489990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-11-03,17.000308914409242,14.44248126620474,14.44248126620474,0,7.989990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-11-06,17.153359721244716,14.572504398232965,14.572504398232965,0,3.289794921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-11-07,17.279971329290387,14.680066312930515,14.680066312930515,0,-0.489990234375,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-11-08,17.41594055837268,14.795577922377616,14.795577922377616,0,3.739990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-11-09,17.213681461158348,14.623750266942393,14.623750266942393,0,-9.759765625,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-11-10,16.915115263090645,14.370105657069454,14.370105657069454,0,-2.320068359375,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-11-13,16.73198843276594,14.21453167134839,14.21453167134839,0,2.5400390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-11-14,16.34469899166537,13.885512914933146,13.885512914933146,0,-5.969970703125,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-11-15,15.464863257435086,13.138055255608611,13.138055255608611,0,-14.25,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-11-16,15.417339335276017,13.097681674226381,13.097681674226381,0,21.019775390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-11-17,15.125458535435735,12.849716592833941,12.849716592833941,0,-6.789794921875,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-11-20,14.975096862720285,12.721977993948395,12.721977993948395,0,3.289794921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-11-21,15.283673943235812,12.984127271762299,12.984127271762299,0,16.89013671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-11-22,15.500291386741196,13.168152949502073,13.168152949502073,0,-1.949951171875,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-11-24,15.772246752616235,13.399190532211232,13.399190532211232,0,5.33984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-11-27,15.987257710902682,13.581851432828676,13.581851432828676,0,-1.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-11-28,16.225542081722157,13.78428408148912,13.78428408148912,0,25.6201171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-11-29,16.422940990181377,13.951982801067984,13.951982801067984,0,-0.969970703125,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-11-30,16.631358887360957,14.129042617493235,14.129042617493235,0,21.510009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-12-01,16.718249674673118,14.202860015416988,14.202860015416988,0,-5.360107421875,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-12-04,16.74340456403675,14.224230157584216,14.224230157584216,0,-2.780029296875,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-12-05,16.56259121825909,14.070621574809566,14.070621574809566,0,-9.869873046875,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-12-06,16.38684696070737,13.92131939682488,13.92131939682488,0,-0.300048828125,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-12-07,16.379536826044653,13.915109128326156,13.915109128326156,0,7.7099609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-12-08,16.588566945736975,14.092689053663284,14.092689053663284,0,14.52001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-12-11,16.783550752876263,14.258336042550384,14.258336042550384,0,8.489990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-12-12,16.96551434266574,14.412921806250152,14.412921806250152,0,4.1201171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-12-13,17.113159931361015,14.538352976913284,14.538352976913284,0,-1.260009765625,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-12-14,17.038006089337625,14.474506610298961,14.474506610298961,0,-10.840087890625,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-12-15,17.203130899491327,14.61478711868485,14.61478711868485,0,23.800048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-12-18,17.35741174319383,14.745855219042664,14.745855219042664,0,14.349853515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-12-19,17.35224454315767,14.741465464121346,14.741465464121346,0,-8.68994140625,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
