Date,Open,High,Low,Close,Tickvol,Volume,Spread
2024-01-18 12:00:00,35609.5,35854.5,35559.5,35749.5,1509,0,700
2024-01-18 16:00:00,35754.5,35959.5,35739.5,35869.5,2832,0,700
2024-01-18 20:00:00,35869.5,36094.5,35804.5,36074.5,1632,0,700
2024-01-19 00:00:00,36080.5,36154.5,35864.5,36059.5,3940,0,700
2024-01-19 04:00:00,36059.5,36074.5,35789.5,35974.5,3086,0,700
2024-01-19 08:00:00,35974.5,36039.5,35929.5,35974.5,2435,0,700
2024-01-19 12:00:00,35974.5,36189.5,35924.5,36119.5,1639,0,700
2024-01-19 16:00:00,36114.5,36199.5,35994.5,36184.5,2638,0,700
2024-01-19 20:00:00,36184.5,36354.5,36154.5,36269.5,1554,0,700
2024-01-22 00:00:00,36297.5,36544.5,36297.5,36339.5,3359,0,700
2024-01-22 04:00:00,36339.5,36579.5,36309.5,36579.5,2512,0,700
2024-01-22 08:00:00,36569.5,36694.5,36544.5,36624.5,1887,0,700
2024-01-22 12:00:00,36624.5,36649.5,36544.5,36584.5,831,0,700
2024-01-22 16:00:00,36584.5,36739.5,36569.5,36710.5,2001,0,700
2024-01-22 20:00:00,36710.5,36722.5,36592.5,36712.5,1052,0,700
2024-01-23 00:00:00,36695.0,36887.5,36616.5,36882.5,2929,0,700
2024-01-23 04:00:00,36882.5,36990.0,36446.4,36522.5,4780,0,700
2024-01-23 08:00:00,36527.5,36597.5,36049.5,36214.5,3336,0,700
2024-01-23 12:00:00,36214.5,36432.5,36199.5,36417.5,1483,0,700
2024-01-23 16:00:00,36417.5,36507.5,36367.5,36507.5,1599,0,700
2024-01-23 20:00:00,36507.5,36527.5,36432.5,36520.0,702,0,700
2024-01-24 00:00:00,36492.5,36576.5,36247.5,36292.5,3429,0,700
2024-01-24 04:00:00,36292.5,36322.5,36102.5,36207.5,2929,0,700
2024-01-24 08:00:00,36212.5,36396.5,36161.5,36261.5,1977,0,700
2024-01-24 12:00:00,36261.5,36331.5,36126.5,36131.5,1257,0,700
2024-01-24 16:00:00,36131.5,36414.5,36109.5,36414.5,1795,0,700
2024-01-24 20:00:00,36414.5,36414.5,36114.5,36122.0,1731,0,700
2024-01-25 00:00:00,36185.5,36263.5,35899.5,36044.5,2294,0,700
